singular	plural	source
طاوي	ات	qalsadi-nouns
طباءع	مفردطبيعة	qalsadi-nouns
طبشورة	طباشير	qalsadi-nouns
طبع	طباع	qalsadi-nouns
طبع	اطباع	qalsadi-nouns
طبق	اطباق	qalsadi-nouns
طبقة	طبق	qalsadi-nouns
طبل	طبول	qalsadi-nouns
طبي	اطباء	qalsadi-nouns
طبيب	اطباء	qalsadi-nouns
طبيخ	اطبخة	qalsadi-nouns
طبيعة	طباءع	qalsadi-nouns
طحال	طحل	qalsadi-nouns
طحلب	طحالب	qalsadi-nouns
طر	اطرار	qalsadi-nouns
طراءف	مفردطريفة	qalsadi-nouns
طراز	طرز	qalsadi-nouns
طربوش	طرابيش	qalsadi-nouns
طرة	طرر	qalsadi-nouns
طرد	طرود	qalsadi-nouns
طرس	طروس	qalsadi-nouns
طرس	اطراس	qalsadi-nouns
طرشاء	مءنثاطرش	qalsadi-nouns
طرف	اطراف	qalsadi-nouns
طرفة	طرف	qalsadi-nouns
طرق	اطراق	qalsadi-nouns
طرق	طروق	qalsadi-nouns
طري	طراء	qalsadi-nouns
طريح	طرحالايجوزجمعمذكرسالممعن	qalsadi-nouns
طريد	طراءد	qalsadi-nouns
طريف	طرف	qalsadi-nouns
طريف	طراف	qalsadi-nouns
طريف	طراء	qalsadi-nouns
طريق	طرق	qalsadi-nouns
طريق	طرقات	qalsadi-nouns
طريقة	طراءق	qalsadi-nouns
طريقة	طرق	qalsadi-nouns
طس	طسوتمذ	qalsadi-nouns
طس	مء	qalsadi-nouns
طعام	اطعمة	qalsadi-nouns
طعم	طعوم	qalsadi-nouns
طعم	اطعام	qalsadi-nouns
طعمة	طعملايجوزجمعمذكرسالم	qalsadi-nouns
طعمة	طعم	qalsadi-nouns
طعنة	طعن	qalsadi-nouns
طغراء	طغراءات	qalsadi-nouns
طغمة	طغم	qalsadi-nouns
طفح	طفوح	qalsadi-nouns
طفطافة	طفاطيف	qalsadi-nouns
طفطفة	طفاطف	qalsadi-nouns
طفل	اطفالوقديستويفي	qalsadi-nouns
طفل	طفول	qalsadi-nouns
طفل	طفال	qalsadi-nouns
طقس	طقوس	qalsadi-nouns
طقم	طقوم	qalsadi-nouns
طل	طلال	qalsadi-nouns
طل	طلل	qalsadi-nouns
طلا	اطلاء	qalsadi-nouns
طلا	طلاء	qalsadi-nouns
طلاء	اطلية	qalsadi-nouns
طلاءع	مفردطليعة	qalsadi-nouns
طلاع	طلع	qalsadi-nouns
طلب	طلبات	qalsadi-nouns
طلبة	طلب	qalsadi-nouns
طلة	طلل	qalsadi-nouns
طلس	اطلاس	qalsadi-nouns
طلس	طلوس	qalsadi-nouns
طلسم	طلاسم	qalsadi-nouns
طلل	اطلال	qalsadi-nouns
طلل	طلول	qalsadi-nouns
طلمة	طلم	qalsadi-nouns
طلوب	طلب	qalsadi-nouns
طليعة	طلاءع	qalsadi-nouns
طليق	طلقاء	qalsadi-nouns
طليل	طلل	qalsadi-nouns
طليل	اطلة	qalsadi-nouns
طمر	اطمار	qalsadi-nouns
طمع	اطماع	qalsadi-nouns
طن	اطنان	qalsadi-nouns
طنب	اطناب	qalsadi-nouns
طنبور	طنابير	qalsadi-nouns
طنجير	طناجير	qalsadi-nouns
طنف	طنوف	qalsadi-nouns
طنف	اطناف	qalsadi-nouns
طنفسة	طنافس	qalsadi-nouns
طوابع	مفردطابع	qalsadi-nouns
طوار	اطورة	qalsadi-nouns
طوارف	مفردطارفة	qalsadi-nouns
طوبة	واحدةالطوب	qalsadi-nouns
طود	اطواد	qalsadi-nouns
طور	اطوار	qalsadi-nouns
طوس	اطواس	qalsadi-nouns
طوف	اطواف	qalsadi-nouns
طوق	اطواق	qalsadi-nouns
طوية	طوايا	qalsadi-nouns
طويل	ات	qalsadi-nouns
طويل	طوال	qalsadi-nouns
طيارة	ات	qalsadi-nouns
طير	طيور	qalsadi-nouns
طير	اطيار	qalsadi-nouns
طيف	اطياف	qalsadi-nouns
طيلسان	طيالس	qalsadi-nouns
طيلسان	طيالسة	qalsadi-nouns
ظافر	ون	qalsadi-nouns
ظافر	ات	qalsadi-nouns
ظالع	ظلع	qalsadi-nouns
ظالع	ظوالع	qalsadi-nouns
ظالم	ظلام	qalsadi-nouns
ظامء	ظماء	qalsadi-nouns
ظاهر	ظواهر	qalsadi-nouns
ظبي	ظباء	qalsadi-nouns
ظبي	ظبيات	qalsadi-nouns
ظر	ظران	qalsadi-nouns
ظر	ظرار	qalsadi-nouns
ظرب	ظراب	qalsadi-nouns
ظربان	ظرابين	qalsadi-nouns
ظربان	ظرابي	qalsadi-nouns
ظرف	ظروف	qalsadi-nouns
ظريف	ظرفاء	qalsadi-nouns
ظريف	ظراف	qalsadi-nouns
ظريف	ظراءف	qalsadi-nouns
ظعينة	ظعاءن	qalsadi-nouns
ظعينة	ظعن	qalsadi-nouns
ظعينة	اظعان	qalsadi-nouns
ظفر	اظفارجاظافر	qalsadi-nouns
ظل	ظلال	qalsadi-nouns
ظلال	مفردظل	qalsadi-nouns
ظلة	ظلل	qalsadi-nouns
ظلف	اظلاف	qalsadi-nouns
ظليم	ظلمان	qalsadi-nouns
ظليمة	ظلاءم	qalsadi-nouns
ظمءن	ظمااظماء	qalsadi-nouns
ظمياء	ظما	qalsadi-nouns
ظن	ظنون	qalsadi-nouns
ظنة	ظنن	qalsadi-nouns
ظنة	ظناءن	qalsadi-nouns
ظنين	اظناء	qalsadi-nouns
ظهارة	ظهاءر	qalsadi-nouns
ظهر	اظهار	qalsadi-nouns
ظهر	ظهور	qalsadi-nouns
ظهير	ظهاءر	qalsadi-nouns
ظهير	للمذكروالمءنثوال	qalsadi-nouns
ظهيرة	ظهاءرمءنثظهير	qalsadi-nouns
ظواهر	مفردظاهرة	qalsadi-nouns
عاءد	ون	qalsadi-nouns
عاءد	ات	qalsadi-nouns
عاءد	عواءد	qalsadi-nouns
عاءز	ون	qalsadi-nouns
عاءز	ات	qalsadi-nouns
عاءز	عواءز	qalsadi-nouns
عاءق	عواءق	qalsadi-nouns
عاءل	عالة	qalsadi-nouns
عاءل	عيل	qalsadi-nouns
عاءل	عيلا	qalsadi-nouns
عابد	ون	qalsadi-nouns
عابد	ات	qalsadi-nouns
عابد	عباد	qalsadi-nouns
عابد	عبدة	qalsadi-nouns
عابد	عوا	qalsadi-nouns
عابر	ون	qalsadi-nouns
عابر	ات	qalsadi-nouns
عاتق	عواتق	qalsadi-nouns
عاتق	عتق	qalsadi-nouns
عاتي	عتاة	qalsadi-nouns
عاثر	ون	qalsadi-nouns
عاثر	ات	qalsadi-nouns
عاثر	عواثر	qalsadi-nouns
عاجز	ون	qalsadi-nouns
عاجز	ات	qalsadi-nouns
عاجز	عواجز	qalsadi-nouns
عادة	عواءد	qalsadi-nouns
عادي	عداة	qalsadi-nouns
عادي	عواد	qalsadi-nouns
عاذل	عذال	qalsadi-nouns
عاذل	عواذل	qalsadi-nouns
عار	اعيار	qalsadi-nouns
عارض	عوارض	qalsadi-nouns
عارف	عوارف	qalsadi-nouns
عارم	عرمة	qalsadi-nouns
عاري	عراة	qalsadi-nouns
عارية	عوار	qalsadi-nouns
عارية	عواري	qalsadi-nouns
عازب	عزاب	qalsadi-nouns
عازل	عوازل	qalsadi-nouns
عاشر	عشر	qalsadi-nouns
عاشر	عواشر	qalsadi-nouns
عاشق	عشاق	qalsadi-nouns
عاصر	عواصر	qalsadi-nouns
عاصف	عواصف	qalsadi-nouns
عاصمة	عواصم	qalsadi-nouns
عاصي	ون	qalsadi-nouns
عاصي	عصاة	qalsadi-nouns
عاطر	عطر	qalsadi-nouns
عاطف	عطف	qalsadi-nouns
عاطف	عطفة	qalsadi-nouns
عاطفة	عواطف	qalsadi-nouns
عاطل	عواطل	qalsadi-nouns
عافي	عفي	qalsadi-nouns
عافي	عفاة	qalsadi-nouns
عافية	رجلكثيرالعافية	qalsadi-nouns
عاقبة	عواقب	qalsadi-nouns
عاقر	عواقر	qalsadi-nouns
عاقر	عقرمذ	qalsadi-nouns
عاقر	مء	qalsadi-nouns
عاقل	عقلاء	qalsadi-nouns
عاقل	عواقل	qalsadi-nouns
عاكف	عكف	qalsadi-nouns
عالم	علماء	qalsadi-nouns
عالم	عوالم	qalsadi-nouns
عالي	عوال	qalsadi-nouns
عالي	العوالي	qalsadi-nouns
عام	اعوام	qalsadi-nouns
عامل	عوامل	qalsadi-nouns
عامل	عمال	qalsadi-nouns
عامل	عملة	qalsadi-nouns
عانة	عون	qalsadi-nouns
عاند	عند	qalsadi-nouns
عاند	عواند	qalsadi-nouns
عانس	عوانس	qalsadi-nouns
عاهر	عهار	qalsadi-nouns
عاهر	عواهر	qalsadi-nouns
عاهل	عواهل	qalsadi-nouns
عب	اعباب	qalsadi-nouns
عبء	اعباء	qalsadi-nouns
عباد	مفردعبد	qalsadi-nouns
عبادة	ات	qalsadi-nouns
عبد	عبيد	qalsadi-nouns
عبد	عباد	qalsadi-nouns
عبرة	ات	qalsadi-nouns
عبرة	عبر	qalsadi-nouns
عبيط	عبط	qalsadi-nouns
عبيط	عباط	qalsadi-nouns
عتاد	اعتدة	qalsadi-nouns
عتاد	عتد	qalsadi-nouns
عتلة	عتل	qalsadi-nouns
عتي	اعتاء	qalsadi-nouns
عتيد	جعتاءد	qalsadi-nouns
عتيق	عتاق	qalsadi-nouns
عتيق	عتق	qalsadi-nouns
عثكول	عثاكيل	qalsadi-nouns
عجار	عجر	qalsadi-nouns
عجز	اعجازمذ	qalsadi-nouns
عجز	مء	qalsadi-nouns
عجفاء	مءنثاعجف	qalsadi-nouns
عجل	عجول	qalsadi-nouns
عجلا	مذعجلان	qalsadi-nouns
عجلان	عجالمءعجلا	qalsadi-nouns
عجلة	عجل	qalsadi-nouns
عجماء	عجماوات	qalsadi-nouns
عجوز	عجز	qalsadi-nouns
عجوز	عجاءز	qalsadi-nouns
عجوز	عجزة	qalsadi-nouns
عجول	عجل	qalsadi-nouns
عجيب	عجاءب	qalsadi-nouns
عد	اعداد	qalsadi-nouns
عداوة	ات	qalsadi-nouns
عدة	عدد	qalsadi-nouns
عدد	اعداد	qalsadi-nouns
عدسة	واحدةالعدس	qalsadi-nouns
عدل	عدول	qalsadi-nouns
عدل	اعدال	qalsadi-nouns
عدو	اعداء	qalsadi-nouns
عدوة	عدا	qalsadi-nouns
عدوة	عداء	qalsadi-nouns
عديد	عداءدجاعدادمفعول؟	qalsadi-nouns
عديل	اعدال	qalsadi-nouns
عديل	عدلاء	qalsadi-nouns
عديم	عدماء	qalsadi-nouns
عذاب	اعذبة	qalsadi-nouns
عذاب	مفردعذب	qalsadi-nouns
عذار	عذر	qalsadi-nouns
عذر	اعذار	qalsadi-nouns
عذراء	عذارا	qalsadi-nouns
عذراء	عذراوات	qalsadi-nouns
عذرة	عذر	qalsadi-nouns
عذق	اعذاق	qalsadi-nouns
عذق	عذوق	qalsadi-nouns
عرا	مفردعروة	qalsadi-nouns
عراء	اعراء	qalsadi-nouns
عراض	عرض	qalsadi-nouns
عراق	مثناعراقانالعراقان	qalsadi-nouns
عراق	اعرقة	qalsadi-nouns
عراق	عرق	qalsadi-nouns
عراقيل	بصيغةالجمع	qalsadi-nouns
عرب	اعرب	qalsadi-nouns
عرب	عروب	qalsadi-nouns
عربان	رجلعربان	qalsadi-nouns
عربون	عرابين	qalsadi-nouns
عرجاء	مءنثاعرج	qalsadi-nouns
عرجون	عراجين	qalsadi-nouns
عرس	اعراس	qalsadi-nouns
عرش	اعراش	qalsadi-nouns
عرش	عروش	qalsadi-nouns
عرصة	اعراص	qalsadi-nouns
عرصة	عراص	qalsadi-nouns
عرض	اعراض	qalsadi-nouns
عرض	عروض	qalsadi-nouns
عرض	عراض	qalsadi-nouns
عرف	اعراف	qalsadi-nouns
عرفاء	عرفمءنثاعرف	qalsadi-nouns
عرق	عروق	qalsadi-nouns
عرق	اعراق	qalsadi-nouns
عرقة	عرق	qalsadi-nouns
عرقلة	عراقيل	qalsadi-nouns
عرقوب	عراقيب	qalsadi-nouns
عرنين	عرانين	qalsadi-nouns
عروة	عرا	qalsadi-nouns
عروس	عرس	qalsadi-nouns
عروس	عراءس	qalsadi-nouns
عروض	اعاريض	qalsadi-nouns
عريان	عراة	qalsadi-nouns
عريان	عوار	qalsadi-nouns
عريس	عرسان	qalsadi-nouns
عريش	عرش	qalsadi-nouns
عريشة	عراءش	qalsadi-nouns
عريض	عراض	qalsadi-nouns
عريضة	عراءضمءنثعريض	qalsadi-nouns
عريف	عرفاء	qalsadi-nouns
عريكة	عراءك	qalsadi-nouns
عرين	عرن	qalsadi-nouns
عرين	عراءن	qalsadi-nouns
عزب	عزاب	qalsadi-nouns
عزب	اعزاب	qalsadi-nouns
عزباء	مءنثاعزب	qalsadi-nouns
عزلاء	مءنثاعزل	qalsadi-nouns
عزيب	جاعزاب	qalsadi-nouns
عزيز	اعزاء	qalsadi-nouns
عزيز	اعزةجاعز	qalsadi-nouns
عزيمة	عزاءم	qalsadi-nouns
عس	عساس	qalsadi-nouns
عس	اعساس	qalsadi-nouns
عسراء	مءنثاعسر	qalsadi-nouns
عسقل	عساقل	qalsadi-nouns
عسكر	عساكر	qalsadi-nouns
عسل	اعسال	qalsadi-nouns
عسل	عسولمذ	qalsadi-nouns
عسل	مء	qalsadi-nouns
عش	اعشاش	qalsadi-nouns
عش	عشاش	qalsadi-nouns
عش	عشوش	qalsadi-nouns
عشاء	اعشية	qalsadi-nouns
عشب	اعشابواحدتهعشبة	qalsadi-nouns
عشر	عشرات	qalsadi-nouns
عشر	اعشار	qalsadi-nouns
عشر	عشور	qalsadi-nouns
عشراء	عشار	qalsadi-nouns
عشواء	عشواواتاوعشواءات	qalsadi-nouns
عشواء	مءنثاعش	qalsadi-nouns
عشية	عشايا	qalsadi-nouns
عشير	عشراء	qalsadi-nouns
عشيرة	عشاءر	qalsadi-nouns
عصا	عصيمء	qalsadi-nouns
عصابة	عصاءب	qalsadi-nouns
عصارة	ات	qalsadi-nouns
عصام	اعصمة	qalsadi-nouns
عصام	عصم	qalsadi-nouns
عصب	اعصاب	qalsadi-nouns
عصبة	عصب	qalsadi-nouns
عصعص	عصاعص	qalsadi-nouns
عصعوص	عصاعيص	qalsadi-nouns
عصفور	عصافير	qalsadi-nouns
عصمة	عصم	qalsadi-nouns
عصمة	اعصم	qalsadi-nouns
عصيدة	عصاءد	qalsadi-nouns
عضد	اعضاد	qalsadi-nouns
عضد	اعضد	qalsadi-nouns
عضو	اعضاء	qalsadi-nouns
عضوض	عضاض	qalsadi-nouns
عطاء	اعطية	qalsadi-nouns
عطاف	عطف	qalsadi-nouns
عطاف	اعطفة	qalsadi-nouns
عطب	اعطاب	qalsadi-nouns
عطر	عطور	qalsadi-nouns
عطشا	عطاشمءنثعطشان	qalsadi-nouns
عطشان	عطاش	qalsadi-nouns
عطشان	عطشامءعطشا	qalsadi-nouns
عطف	اعطاف	qalsadi-nouns
عطل	اعطال	qalsadi-nouns
عطلة	عطل	qalsadi-nouns
عطوف	عطف	qalsadi-nouns
عطية	عطايا	qalsadi-nouns
عظاءة	عظايا	qalsadi-nouns
عظة	عظات	qalsadi-nouns
عظم	اعظم	qalsadi-nouns
عظم	عظام	qalsadi-nouns
عظيم	عظام	qalsadi-nouns
عظيم	عظماء	qalsadi-nouns
عظيم	عظاءم	qalsadi-nouns
عفر	اعفار	qalsadi-nouns
عفراء	مءنثاعفر	qalsadi-nouns
عفريت	عفاريت	qalsadi-nouns
عفن	اعفان	qalsadi-nouns
عفيف	اعفاء	qalsadi-nouns
عفيف	اعفة	qalsadi-nouns
عفيف	عفاء	qalsadi-nouns
عقاب	عقبانمذ	qalsadi-nouns
عقاب	مء	qalsadi-nouns
عقار	عقاقير	qalsadi-nouns
عقال	عقل	qalsadi-nouns
عقب	اعقاب	qalsadi-nouns
عقب	عقاب	qalsadi-nouns
عقبة	عقب	qalsadi-nouns
عقد	عقود	qalsadi-nouns
عقدة	عقد	qalsadi-nouns
عقر	اعقار	qalsadi-nouns
عقرب	عقارب	qalsadi-nouns
عقربان	الذكرمنالعقارب	qalsadi-nouns
عقعق	عقاعق	qalsadi-nouns
عقل	عقول	qalsadi-nouns
عقيد	عقداء	qalsadi-nouns
عقيدة	عقاءد	qalsadi-nouns
عقير	جعقرا	qalsadi-nouns
عقيرة	عقاءر	qalsadi-nouns
عقيفة	عقاءف	qalsadi-nouns
عقيقة	عقاءق	qalsadi-nouns
عقيلة	عقاءل	qalsadi-nouns
عقيم	عقماء	qalsadi-nouns
عقيم	عقاءم	qalsadi-nouns
عكاز	عكاكيز	qalsadi-nouns
علاقة	علاءق	qalsadi-nouns
علاوة	علاوا	qalsadi-nouns
علاوة	علاو	qalsadi-nouns
علباء	علابي	qalsadi-nouns
علبة	علب	qalsadi-nouns
علبة	علاب	qalsadi-nouns
علة	علل	qalsadi-nouns
علج	علوج	qalsadi-nouns
علج	اعلاج	qalsadi-nouns
علجوم	علاجيمذكرالضفادع	qalsadi-nouns
علف	علاف	qalsadi-nouns
علف	اعلاف	qalsadi-nouns
علق	اعلاق	qalsadi-nouns
علق	علوق	qalsadi-nouns
علقة	واحدةالعلق	qalsadi-nouns
علك	علوك	qalsadi-nouns
علك	اعلاك	qalsadi-nouns
علم	علوم	qalsadi-nouns
علم	اعلام	qalsadi-nouns
علي	علية	qalsadi-nouns
عليا	علامءنثاعلا	qalsadi-nouns
علية	علالي	qalsadi-nouns
عليل	اعلاء	qalsadi-nouns
عليل	علاءل	qalsadi-nouns
عليم	علماء	qalsadi-nouns
عم	اعمام	qalsadi-nouns
عم	عمات	qalsadi-nouns
عماد	عمد	qalsadi-nouns
عمادة	عماد	qalsadi-nouns
عمامة	عماءم	qalsadi-nouns
عمامة	عمام	qalsadi-nouns
عمة	اعمام	qalsadi-nouns
عمة	عمات	qalsadi-nouns
عمدة	عمد	qalsadi-nouns
عمر	اعمار	qalsadi-nouns
عمرة	عمر	qalsadi-nouns
عمق	اعماق	qalsadi-nouns
عمل	اعمال	qalsadi-nouns
عملاق	عمالقة	qalsadi-nouns
عمود	اعمدة	qalsadi-nouns
عمود	عمد	qalsadi-nouns
عمي	مفرداعما	qalsadi-nouns
عميد	عمداء	qalsadi-nouns
عميرة	عماءر	qalsadi-nouns
عميل	عملاء	qalsadi-nouns
عميم	عمم	qalsadi-nouns
عنابة	واحدةالعناب	qalsadi-nouns
عناق	اعنق	qalsadi-nouns
عناق	عنوقالانثامن	qalsadi-nouns
عنان	اعنة	qalsadi-nouns
عنان	عنن	qalsadi-nouns
عنب	اعناب	qalsadi-nouns
عنبر	عنابر	qalsadi-nouns
عندليب	عنادل	qalsadi-nouns
عنز	اعنز	qalsadi-nouns
عنز	عنوز	qalsadi-nouns
عنزة	عنز	qalsadi-nouns
عنصر	عناصر	qalsadi-nouns
عنفقة	عنافق	qalsadi-nouns
عنق	اعناقمء	qalsadi-nouns
عنق	مذ	qalsadi-nouns
عنقاء	عنقمذاعنق	qalsadi-nouns
عنقود	عناقيد	qalsadi-nouns
عنكب	عناكبذكرالعنكبوت	qalsadi-nouns
عنكبوت	عناكب	qalsadi-nouns
عنن	اعنان	qalsadi-nouns
عنوان	عناوين	qalsadi-nouns
عنود	عند	qalsadi-nouns
عنيد	عند	qalsadi-nouns
عنيف	عنف	qalsadi-nouns
عهد	عهود	qalsadi-nouns
عواءد	مفردعاءد	qalsadi-nouns
عوامل	مفردعاملة	qalsadi-nouns
عواهن	مفردعاهن	qalsadi-nouns
عوجاء	مءنثاعوج	qalsadi-nouns
عود	اعواد	qalsadi-nouns
عود	عيدان	qalsadi-nouns
عود	عودة	qalsadi-nouns
عوراء	مءنثاعور	qalsadi-nouns
عورة	ات	qalsadi-nouns
عوسجة	واحدةالعوسج	qalsadi-nouns
عوض	اعواض	qalsadi-nouns
عون	اعوان	qalsadi-nouns
عي	اعياء	qalsadi-nouns
عيال	مفردعيل	qalsadi-nouns
عيب	عيوب	qalsadi-nouns
عيد	اعياد	qalsadi-nouns
عير	عيرات	qalsadi-nouns
عيل	عيال	qalsadi-nouns
عين	عيون	qalsadi-nouns
عين	اعين	qalsadi-nouns
عين	اعيانمث	qalsadi-nouns
عيون	عين	qalsadi-nouns
غاءب	غيب	qalsadi-nouns
غاءب	غياب	qalsadi-nouns
غاءر	ون	qalsadi-nouns
غاءر	ات	qalsadi-nouns
غاءص	غواص	qalsadi-nouns
غاءص	غاصة	qalsadi-nouns
غاءلة	غواءل	qalsadi-nouns
غابة	غاب	qalsadi-nouns
غابر	ون	qalsadi-nouns
غابر	ات	qalsadi-nouns
غابر	غبر	qalsadi-nouns
غادة	غيد	qalsadi-nouns
غادر	ون	qalsadi-nouns
غادر	ات	qalsadi-nouns
غادر	غدار	qalsadi-nouns
غادي	ون	qalsadi-nouns
غار	اغوار	qalsadi-nouns
غار	غيران	qalsadi-nouns
غارب	غوارب	qalsadi-nouns
غارق	غرقا	qalsadi-nouns
غازي	غزاة	qalsadi-nouns
غاش	غششة	qalsadi-nouns
غاش	غشاش	qalsadi-nouns
غاشية	غواش	qalsadi-nouns
غاشية	الغواشي	qalsadi-nouns
غاصب	غصاب	qalsadi-nouns
غاطس	غواطس	qalsadi-nouns
غافر	غفرة	qalsadi-nouns
غافل	غفل	qalsadi-nouns
غافل	غفول	qalsadi-nouns
غالب	غلبة	qalsadi-nouns
غالظ	غلظة	qalsadi-nouns
غالي	غلاة	qalsadi-nouns
غالي	غوال	qalsadi-nouns
غالي	الغوالي	qalsadi-nouns
غامض	غوامض	qalsadi-nouns
غاوي	غواة	qalsadi-nouns
غاية	غاي	qalsadi-nouns
غب	اغباب	qalsadi-nouns
غب	غبوب	qalsadi-nouns
غب	غبان	qalsadi-nouns
غبراء	مءنثاغبر	qalsadi-nouns
غبش	اغباش	qalsadi-nouns
غبي	اغبياء	qalsadi-nouns
غداء	اغدية	qalsadi-nouns
غداة	غدوات	qalsadi-nouns
غدارة	ات	qalsadi-nouns
غدة	غدد	qalsadi-nouns
غدة	غداءد	qalsadi-nouns
غدر	اغدار	qalsadi-nouns
غدوة	غدو	qalsadi-nouns
غدوة	غدا	qalsadi-nouns
غدية	غدايا	qalsadi-nouns
غدير	غدران	qalsadi-nouns
غديرة	غداءر	qalsadi-nouns
غذاء	اغذية	qalsadi-nouns
غر	غرور	qalsadi-nouns
غر	اغرار	qalsadi-nouns
غراء	مءنثاغر	qalsadi-nouns
غراب	غربان	qalsadi-nouns
غراب	اغربة	qalsadi-nouns
غرار	اغرة	qalsadi-nouns
غرارة	غراءر	qalsadi-nouns
غراف	غراريف	qalsadi-nouns
غرب	غروب	qalsadi-nouns
غربال	غرابيل	qalsadi-nouns
غربيب	غرابيب	qalsadi-nouns
غرة	غرر	qalsadi-nouns
غرزة	غرز	qalsadi-nouns
غرس	اغراس	qalsadi-nouns
غرس	غراس	qalsadi-nouns
غرض	اغراض	qalsadi-nouns
غرفة	غرف	qalsadi-nouns
غرنوق	غرانيق	qalsadi-nouns
غريب	غرباء	qalsadi-nouns
غريب	غراءب	qalsadi-nouns
غرير	اغراء	qalsadi-nouns
غرير	غراءر	qalsadi-nouns
غريزة	غراءز	qalsadi-nouns
غريسة	غراءس	qalsadi-nouns
غريسة	غراس	qalsadi-nouns
غريض	اغاريض	qalsadi-nouns
غريق	غرقا	qalsadi-nouns
غريم	غرماء	qalsadi-nouns
غزاة	غزوات	qalsadi-nouns
غزال	غزلان	qalsadi-nouns
غزير	غزار	qalsadi-nouns
غسل	اغسال	qalsadi-nouns
غسول	اغسال	qalsadi-nouns
غسيل	غسلا	qalsadi-nouns
غسيل	غسالا	qalsadi-nouns
غشاء	اغشية	qalsadi-nouns
غصة	غصص	qalsadi-nouns
غصن	غصون	qalsadi-nouns
غصن	اغصان	qalsadi-nouns
غض	غضاض	qalsadi-nouns
غضارة	غضاءر	qalsadi-nouns
غضاضة	غضاءض	qalsadi-nouns
غضروف	غضاريف	qalsadi-nouns
غضن	غضون	qalsadi-nouns
غضيض	اغضة	qalsadi-nouns
غضيض	غضاءض	qalsadi-nouns
غطاء	اغطية	qalsadi-nouns
غطرس	غطارس	qalsadi-nouns
غطريس	غطاريس	qalsadi-nouns
غطريف	غطاريف	qalsadi-nouns
غطريف	غطارفة	qalsadi-nouns
غفارة	غفاءر	qalsadi-nouns
غفر	اغفار	qalsadi-nouns
غفر	غفور	qalsadi-nouns
غفل	اغفال	qalsadi-nouns
غفيرة	غفاءر	qalsadi-nouns
غل	اغلال	qalsadi-nouns
غلاءل	مفردغلالة	qalsadi-nouns
غلاف	غلف	qalsadi-nouns
غلالة	غلاءل	qalsadi-nouns
غلام	غلمان	qalsadi-nouns
غلام	غلمة	qalsadi-nouns
غلام	اغلمة	qalsadi-nouns
غلة	غلال	qalsadi-nouns
غلة	غلل	qalsadi-nouns
غلط	اغلاط	qalsadi-nouns
غلفة	غلف	qalsadi-nouns
غلق	اغلاقجاغاليق	qalsadi-nouns
غلل	اغلال	qalsadi-nouns
غليظ	غلاظجغلاظ	qalsadi-nouns
غليظ	وغلاءظ	qalsadi-nouns
غليل	غلاءل	qalsadi-nouns
غليلة	غلاءل	qalsadi-nouns
غليون	غلايين	qalsadi-nouns
غم	غموم	qalsadi-nouns
غمار	مفردغمرة	qalsadi-nouns
غمامة	غماءم	qalsadi-nouns
غمامة	غمام	qalsadi-nouns
غمة	غمم	qalsadi-nouns
غمة	غموم	qalsadi-nouns
غمد	غمود	qalsadi-nouns
غمد	اغماد	qalsadi-nouns
غمر	اغمار	qalsadi-nouns
غمر	غمار	qalsadi-nouns
غمرة	غمار	qalsadi-nouns
غمرة	غمر	qalsadi-nouns
غمض	غموض	qalsadi-nouns
غمض	اغماض	qalsadi-nouns
غنم	اغنام	qalsadi-nouns
غنم	غنوم	qalsadi-nouns
غني	اغنياء	qalsadi-nouns
غنيمة	غناءم	qalsadi-nouns
غوبر	غوابر	qalsadi-nouns
غور	اغوار	qalsadi-nouns
غور	غيران	qalsadi-nouns
غول	غيلانمء	qalsadi-nouns
غوي	اغوياء	qalsadi-nouns
غيب	غيوب	qalsadi-nouns
غيث	غيوث	qalsadi-nouns
غير	اغيار	qalsadi-nouns
غيران	غيارامءغيرا	qalsadi-nouns
غيضة	غياض	qalsadi-nouns
غيضة	اغياض	qalsadi-nouns
غيمة	غيوم	qalsadi-nouns
غيهب	غياهب	qalsadi-nouns
غيور	غيرمذ	qalsadi-nouns
غيور	مء	qalsadi-nouns
فءاد	افءدة	qalsadi-nouns
فاءدة	فواءد	qalsadi-nouns
فاتح	فواتح	qalsadi-nouns
فاتحة	فواتح	qalsadi-nouns
فاتك	فتاك	qalsadi-nouns
فاتن	فتان	qalsadi-nouns
فاجر	ون	qalsadi-nouns
فاجر	ات	qalsadi-nouns
فاجر	فجرة	qalsadi-nouns
فاجر	فجار	qalsadi-nouns
فاجر	فوا	qalsadi-nouns
فاجعة	فواجع	qalsadi-nouns
فاحش	فواحش	qalsadi-nouns
فادح	فوادح	qalsadi-nouns
فادن	فوادن	qalsadi-nouns
فادي	ون	qalsadi-nouns
فار	ون	qalsadi-nouns
فار	ات	qalsadi-nouns
فار	فءران	qalsadi-nouns
فار	فءرةمذ	qalsadi-nouns
فار	مء	qalsadi-nouns
فارس	فرسان	qalsadi-nouns
فارس	فوارس	qalsadi-nouns
فارض	فرض	qalsadi-nouns
فارض	فوارض	qalsadi-nouns
فارط	فراط	qalsadi-nouns
فارع	فرع	qalsadi-nouns
فارع	فوارع	qalsadi-nouns
فارق	فراق	qalsadi-nouns
فارق	فوارق	qalsadi-nouns
فاره	فره	qalsadi-nouns
فازر	فوازر	qalsadi-nouns
فازورة	فوازير	qalsadi-nouns
فاس	فءوس	qalsadi-nouns
فاسد	ون	qalsadi-nouns
فاسد	ات	qalsadi-nouns
